purchase,unit,geo\time	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,RCH_A,HR	7.5 	5.0 	8.9 	8.3 	4.3 	4.9 	0.8 	1.8 	2.9 	1.9 	0.6 	0.1 	-1.5 	-3.4 	-0.8 	-1.9 	-2.1 	-0.3 	-0.7 	-2.0 	-4.1 	-4.4 	-6.3 	-5.6 	-2.8 	-1.8 	0.0 	-0.1 	0.0 	-1.8 	-2.0 	-3.6 	-3.4 	-4.5 	-9.2 	-8.6 	-10.3 	-6.6 	-1.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,HU	7.0 p	10.6 	11.4 	6.2 	6.1 	6.0 	5.3 	11.8 	12.0 	13.5 	17.2 	14.9 	15.7 	13.1 	9.2 	8.7 	4.6 	2.7 	0.8 	-0.8 	-1.4 	-2.5 	-6.2 	-5.6 	-4.2 	-4.5 	-1.7 	-3.0 	-4.2 	-3.2 	-3.2 	0.1 	-1.1 	-2.1 	-4.5 	-8.0 	-7.3 	-5.7 	-1.3 	-2.4 	0.8 	5.1 	6.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IE	9.0 p	12.6 p	12.9 p	12.9 p	12.7 p	12.0 p	10.8 p	9.6 p	8.2 p	5.9 p	6.7 p	5.9 p	7.7 p	13.5 p	18.0 p	20.7 p	21.2 p	18.5 p	11.6 p	6.1 p	3.4 p	-1.0 p	-2.8 p	-4.0 p	-9.5 p	-16.9 p	-20.2 p	-20.9 p	-20.4 p	-16.7 p	-14.2 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IS	5.8 	8.0 	13.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IT	-1.3 p	-0.8 	-1.0 	-1.5 	-1.6 	-1.0 	-0.6 	0.0 	0.2 	0.3 	-0.1 	-2.4 	-3.6 	-5.1 	-6.7 	-5.8 	-5.4 	-5.9 	-5.1 	-7.2 	-8.6 	-9.0 	-9.9 	-7.5 	-5.9 	-4.3 	-0.7 	-0.4 	0.2 	1.5 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,LT	6.2 	7.4 	7.8 	6.7 	8.7 	9.2 	9.8 	9.3 	6.1 	5.0 	5.3 	4.3 	2.7 	3.3 	3.0 	4.6 	10.5 	6.8 	5.5 	5.1 	1.7 	2.2 	-0.2 	-3.2 	-2.2 	-0.7 	-1.1 	4.6 	5.8 	4.5 	8.9 	0.6 	-2.1 	-2.5 	-12.6 	-27.9 	-34.5 	-34.6 	-27.7 	-8.1 	3.4 	11.8 	15.7 	26.2 	37.4 	39.7 	32.7 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,LU	7.4 	5.8 	6.5 	3.7 	4.3 	7.8 	7.1 	8.6 	6.9 	4.6 	4.7 	3.0 	4.6 	4.0 	4.2 	5.6 	5.4 	5.2 	4.4 	1.8 	4.0 	3.7 	3.9 	2.7 	5.4 	3.3 	4.4 	6.7 	3.7 	6.6 	2.3 	6.3 	6.3 	3.9 	7.2 	-1.7 	-5.6 	-4.2 	-2.8 	0.5 	0.0 	4.4 	1.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,LV	10.5 p	8.8 	10.8 	7.5 	8.0 	10.6 	9.5 	9.2 	9.6 	8.1 	7.2 	4.5 	-5.2 	-2.3 	-5.2 	-1.4 	9.4 	4.6 	8.8 	6.7 	7.3 	9.1 	6.7 	6.9 	0.3 	-0.5 	-3.5 	1.0 	5.5 	9.0 	8.8 	-5.9 	-7.5 	-13.8 	-20.6 	-28.2 	-39.5 	-41.1 	-37.5 	-17.9 	-4.6 	9.0 	17.5 	21.5 	38.3 	44.0 	53.3 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,MT	4.3 p	3.8 p	7.4 p	3.6 p	3.7 	7.5 	7.2 	5.1 	6.5 	7.9 	7.8 	9.1 	10.3 	2.9 	-2.7 	2.0 	-3.8 	9.8 	4.8 	9.2 	1.0 	2.5 	3.0 	6.3 	7.8 	-4.5 	4.6 	3.3 	-0.3 	-2.3 	0.1 	1.3 	-3.4 	2.4 	-13.1 	-23.3 	-7.9 	2.2 	4.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,NL	9.2 	8.8 	9.0 	8.2 	7.6 	7.7 	6.8 	6.1 	5.6 	4.4 	4.1 	3.5 	2.9 	2.5 	2.4 	2.2 	1.8 	1.2 	-1.5 	-4.2 	-4.6 	-8.7 	-8.6 	-7.6 	-8.6 	-5.5 	-4.1 	-3.4 	-2.8 	-2.0 	-1.5 	-1.1 	-0.8 	-2.2 	-4.8 	-5.3 	-5.2 	-2.9 	-0.2 	1.7 	2.8 	3.2 	4.4 	4.2 	4.4 	4.1 	4.1 	4.5 	4.6 	4.6 	4.6 	: 	: 	: 	: 
DW_EXST,RCH_A,NO	3.1 	0.8 	-2.2 	-0.4 	2.4 	8.6 	12.4 	12.1 	9.5 	6.4 	5.0 	5.5 	6.9 	7.5 	8.4 	6.5 	3.4 	1.3 	-0.3 	0.5 	3.1 	6.0 	7.0 	7.4 	7.5 	6.5 	6.3 	8.0 	8.3 	7.4 	8.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,PL	8.0 	6.8 	6.4 	4.6 	3.8 	4.7 	4.7 	4.4 	3.5 	1.7 	0.5 	0.8 	1.0 	0.3 	0.5 	0.6 	1.0 	2.4 	1.3 	-0.8 	-2.7 	-5.2 	-6.1 	-6.0 	-5.5 	-5.3 	-3.6 	-1.4 	-1.2 	0.0 	1.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,PT	9.2 	12.6 	13.0 	11.8 	11.5 	8.9 	9.2 	9.2 	9.1 	8.5 	7.9 	5.1 	5.2 	3.4 	2.1 	2.8 	4.3 	5.6 	4.7 	0.6 	-1.0 	-3.1 	-5.4 	-3.4 	-8.3 	-9.2 	-10.0 	-9.6 	-7.3 	-6.1 	-3.5 	-2.1 	0.2 	2.0 	3.3 	2.3 	-0.8 	-2.6 	-3.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,RO	5.9 	5.9 	6.7 	6.9 	7.3 	8.1 	6.8 	7.4 	7.6 	6.6 	2.5 	3.4 	3.2 	3.7 	3.3 	0.1 	-2.2 	-3.7 	-2.8 	0.6 	1.2 	-0.4 	-0.5 	-1.1 	-5.5 	-9.0 	-9.6 	-16.8 	-15.4 	-11.6 	-11.6 	-13.2 	-6.5 	-4.0 	-7.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,SE	-4.3 	-3.9 	-2.1 	2.0 	7.6 	9.3 	6.9 	6.8 	7.2 	8.9 	13.4 	15.5 	15.5 	14.9 	13.3 	11.8 	11.3 	9.5 	9.4 	8.6 	7.4 	6.1 	4.8 	4.2 	0.8 	-0.3 	-1.3 	-2.8 	1.8 	3.7 	4.7 	6.8 	7.6 	9.7 	12.7 	12.8 	2.3 	-1.9 	-3.5 	-5.4 	-2.1 	2.7 	7.1 	11.6 	16.3 	15.2 	11.8 	11.0 	14.2 	16.5 	16.9 	: 	: 	: 	: 
DW_EXST,RCH_A,SI	15.3 	11.7 	11.6 	9.6 	7.6 	7.6 	6.4 	7.6 	5.3 	1.4 	1.0 	-0.8 	0.8 	2.5 	-0.2 	-4.8 	-6.7 	-8.8 	-7.4 	-5.1 	-5.7 	-6.0 	-4.4 	-6.1 	-6.2 	-3.5 	-6.6 	-0.7 	1.2 	1.4 	0.8 	-0.4 	3.1 	3.6 	2.1 	-3.6 	-11.3 	-8.9 	-6.5 	-1.4 	6.1 	5.7 	9.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,SK	6.0 	7.2 	11.2 	5.1 	6.4 	7.0 	3.6 	9.0 	7.8 	6.0 	4.9 	6.2 	6.6 	6.7 	6.2 	2.8 	1.7 	0.8 	0.0 	2.9 	0.7 	1.3 	1.0 	-1.6 	-1.8 	-2.7 	-3.0 	-2.5 	-0.3 	-0.2 	-0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,UK	2.9 p	3.2 	4.1 	4.5 	4.4 	4.3 	3.8 	5.2 	6.5 	7.7 	8.1 	6.4 	5.4 	5.4 	6.8 	8.7 	9.0 	8.0 	6.3 	4.4 	2.7 	1.5 	1.4 	0.8 	0.7 	0.6 	-0.4 	-1.4 	-2.3 	-2.1 	-1.1 	1.5 	6.0 	8.8 	8.4 	2.0 	-6.7 	-13.7 	-15.5 	-13.3 	-7.2 	-0.8 	3.6 	8.3 	10.5 	10.9 	10.9 	10.1 	8.2 	7.3 	6.3 	: 	: 	: 	: 
DW_EXST,RCH_Q,AT	2.4 	0.9 	1.4 	2.1 	-0.7 	1.3 	3.4 	-0.1 	0.1 	2.5 	5.1 	-2.3 	4.8 	6.6 	-2.8 	1.5 	-1.0 	2.0 	2.3 	-3.4 	4.0 	0.8 	1.7 	-0.1 	3.1 	1.4 	2.4 	0.7 	2.2 	2.9 	0.3 	-0.1 	3.3 	3.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,BE	1.9 p	0.6 	0.5 	-0.7 	3.0 	-0.3 	1.0 p	-0.4 p	2.7 p	1.1 p	-0.4 p	-1.0 p	2.1 p	1.5 p	-2.6 p	0.9 	0.9 	0.9 	-0.8 	-1.7 	1.7 	-0.3 	0.1 	-0.9 	1.5 	0.0 	0.8 	-0.4 	2.2 	1.1 	0.2 	0.5 	2.5 	1.1 	1.3 	-0.7 	3.0 	-0.9 	-1.3 	-1.3 	2.1 	1.5 	1.0 	0.6 	2.5 	2.3 	2.5 	0.8 	3.6 	2.9 	2.0 	2.4 	4.8 	3.0 	: 
DW_EXST,RCH_Q,BG	0.2 p	2.3 p	1.3 p	2.0 	1.9 	4.2 	1.6 	2.8 	0.4 	3.7 	1.6 	3.3 	-1.3 	0.2 	1.5 	0.7 	-0.1 	0.3 	0.2 	-0.1 	-0.1 	-0.1 	-0.9 	-0.7 	-0.5 	0.2 	-0.4 	-1.5 	-0.8 	-1.6 	-2.3 	-1.5 	-1.2 	-0.8 	-2.3 p	-1.9 p	-5.0 p	-9.7 p	-12.4 p	-4.1 p	3.1 p	5.9 p	6.8 p	8.8 p	7.5 p	5.4 p	9.3 p	5.5 p	4.6 p	1.6 p	4.7 p	2.4 p	2.9 p	4.3 p	: 
DW_EXST,RCH_Q,CY	1.6 p	-2.3 p	0.8 p	0.7 p	-1.2 p	1.6 p	2.2 p	-2.2 p	0.8 p	-1.2 p	0.7 p	-1.2 p	0.7 p	0.8 p	-1.8 p	-3.0 p	5.1 p	-2.9 p	-2.0 p	2.4 p	1.4 p	2.4 p	-8.1 p	1.2 p	0.2 p	-0.8 p	-3.5 p	-2.4 p	-0.1 p	4.4 p	-3.7 p	2.4 p	2.9 p	-1.7 p	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
DW_EXST,RCH_Q,CZ	2.3 p	2.6 	2.0 p	1.1 p	1.7 	2.3 	2.8 p	4.7 p	2.7 	1.9 	1.4 p	1.1 p	1.3 	0.9 	1.0 	0.8 	0.8 	0.9 	1.2 	-0.2 	-0.1 	0.5 	0.0 	-0.4 	-0.1 	0.1 	-0.4 	-0.9 	-0.4 	0.5 	0.2 	0.2 	-0.1 	0.0 	0.1 	-0.3 	-1.0 	-3.6 	-2.8 	-0.8 	1.7 	4.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,DE	2.1 p	1.8 p	-0.5 p	2.0 	1.6 	2.1 	-1.0 	1.6 	1.5 	3.2 	0.8 	1.3 	0.3 	2.4 	1.8 	-0.2 	0.4 	2.0 	0.8 	0.2 	-0.1 	2.0 	-0.2 	1.3 	1.6 	1.4 	0.7 	1.0 	-0.8 	0.9 	3.1 	-0.8 	-0.4 	1.8 	-1.3 	1.4 	-0.7 	1.8 	-0.6 	0.5 	-2.1 	0.2 	1.6 	0.1 	-0.2 	1.5 	-3.7 	0.8 	-1.9 	0.8 	1.6 	-3.1 	2.3 	-1.8 	: 
DW_EXST,RCH_Q,DK	0.3 p	1.4 	3.8 	-1.9 	1.3 	2.7 	2.2 	-1.6 	1.4 	2.5 	1.9 	0.0 	0.4 	3.4 	3.8 	-0.6 	-0.5 	3.8 	1.4 	-1.4 	0.2 	3.4 	1.1 	-0.5 	0.2 	1.5 	0.0 	-3.6 	-3.5 	2.2 	-1.0 	-1.1 	0.8 	2.2 	0.7 	-0.4 	0.9 	1.1 	-6.4 	-8.0 	-2.7 	0.7 	-1.1 	-2.1 	0.1 	1.1 	0.3 	-1.0 	1.9 	6.1 	7.1 	6.6 	7.7 	5.2 	: 
