purchase,unit,geo\time	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,RCH_Q,EE	2.4 	2.5 	-1.7 	1.7 	0.2 	2.0 	1.8 	2.0 	-0.4 	2.6 	0.7 	1.6 	-2.8 	6.8 	0.1 	-0.1 	-0.4 	4.4 	3.2 	1.5 	3.1 	6.7 	1.6 	0.2 	3.6 	1.8 	2.5 	0.8 	-2.2 	1.8 	7.6 	-0.5 	1.4 	-0.1 	6.8 	3.5 	-6.9 	-9.8 	-21.7 	-14.2 	-5.4 	1.6 	-3.7 	-3.2 	-2.9 	5.7 	0.6 	6.0 	5.0 	15.5 	15.8 	14.4 	7.9 	12.4 	: 
DW_EXST,RCH_Q,ES	2.2 	2.6 	1.3 	1.1 	1.9 	1.9 	2.1 	0.7 	1.0 	1.4 	1.3 	-0.3 	0.7 	4.6 	-1.0 	0.3 	0.0 	1.9 	-0.4 	-1.3 	0.1 	-0.1 	-6.5 	-1.6 	-4.4 	-3.7 	-5.1 	-4.3 	-3.6 	-0.9 	-5.6 	0.3 	-2.2 	1.2 	-0.9 	0.1 	-0.5 	-0.1 	-3.0 	-4.8 	-3.6 	-1.7 	-1.0 	-2.5 	0.2 	2.7 	2.0 	2.3 	2.8 	5.2 	4.2 	: 	: 	: 	: 
DW_EXST,RCH_Q,FI	-1.0 	1.5 	0.1 	-0.7 	-0.7 	1.4 	0.8 	-0.9 	-0.3 	1.6 	-0.2 	-0.6 	-0.2 	0.8 	0.1 	-1.0 	-0.5 	0.5 	-0.3 	-0.6 	-0.5 	0.7 	0.5 	0.1 	-0.3 	0.9 	1.7 	-1.3 	-0.9 	1.7 	1.6 	-0.2 	0.6 	1.8 	2.8 	3.0 	2.0 	2.9 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
DW_EXST,RCH_Q,FR	2.5 p	0.9 	0.2 	-0.7 	2.4 	1.0 	0.5 	-0.7 	2.2 	0.4 	-0.4 	-0.9 	1.6 	0.1 	-1.2 	-2.3 	0.7 	0.3 	-1.3 	-1.2 	0.8 	-0.2 	-1.3 	-1.6 	0.9 	0.0 	-1.4 	-1.2 	2.3 	2.1 	0.4 	1.1 	3.2 	2.1 	0.9 	0.2 	1.9 	-1.8 	-4.4 	-3.6 	0.5 	0.0 	-0.7 	0.7 	2.4 	1.8 	0.7 	0.7 	3.5 	3.1 	2.4 	1.8 	5.0 	4.4 	: 
DW_EXST,RCH_Q,HR	2.9 	-0.1 	1.0 	3.6 	0.5 	3.6 	0.5 	-0.3 	1.1 	-0.5 	1.5 	0.8 	0.0 	-1.8 	1.0 	-0.8 	-1.9 	0.9 	0.0 	-1.0 	-0.1 	0.5 	-1.4 	-3.1 	-0.4 	-1.5 	-0.6 	-0.3 	0.6 	0.3 	-0.7 	-0.2 	-1.2 	0.2 	-2.4 	0.0 	-2.2 	-4.7 	-1.8 	-1.9 	1.8 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,HU	-0.3 p	2.3 	3.3 	1.6 	3.1 	3.0 	-1.6 	1.5 	3.0 	2.3 	4.5 	1.7 	4.4 	5.6 	2.5 	2.4 	2.0 	2.0 	2.0 	-1.4 	0.2 	0.2 	0.3 	-2.0 	-1.0 	-3.6 	1.0 	-0.6 	-1.3 	-0.8 	-0.3 	-1.9 	-0.2 	-0.9 	3.1 	-3.0 	-1.2 	-3.3 	-0.7 	-2.2 	0.4 	1.2 	-1.8 	1.1 	4.7 	2.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,IE	2.5 p	2.1 p	1.3 p	2.8 p	5.9 p	2.3 p	1.3 p	2.7 p	5.2 p	1.2 p	0.2 p	1.3 p	3.0 p	2.0 p	-0.5 p	3.0 p	8.6 p	6.0 p	1.8 p	3.4 p	6.2 p	-0.2 p	-3.2 p	0.8 p	1.7 p	-2.1 p	-4.3 p	-5.0 p	-6.6 p	-6.1 p	-5.1 p	-4.4 p	-2.3 p	-3.2 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,IS	2.1 	1.2 	1.4 	1.0 	4.2 	6.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,IT	-1.0 p	0.6 	0.0 	-0.9 	-0.5 	0.4 	-0.5 	-1.0 	0.1 	0.8 	0.1 	-0.8 	0.2 	0.4 	-2.3 	-1.9 	-1.4 	-1.3 	-1.3 	-1.5 	-1.9 	-0.4 	-3.5 	-3.1 	-2.3 	-1.4 	-1.0 	-1.3 	-0.7 	2.3 	-0.6 	-0.8 	0.6 	1.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,LT	0.8 	2.7 	2.5 	0.1 	1.9 	3.1 	1.4 	1.9 	2.4 	3.7 	1.0 	-1.0 	1.4 	3.9 	0.1 	-2.6 	1.9 	3.6 	1.6 	3.0 	-1.5 	2.4 	1.2 	-0.4 	-1.0 	0.0 	-1.8 	0.6 	0.5 	-0.4 	3.9 	1.7 	-0.7 	3.8 	-4.0 	-1.0 	-1.1 	-6.9 	-20.8 	-10.1 	-1.3 	2.9 	0.7 	1.1 	6.6 	6.5 	9.9 	10.0 	8.5 	1.2 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,LU	1.2 	1.9 	3.6 	0.5 	-0.3 	2.5 	0.9 	1.1 	3.1 	1.9 	2.3 	-0.6 	0.9 	2.0 	0.6 	1.0 	0.4 	2.2 	1.9 	0.8 	0.2 	1.4 	-0.6 	2.9 	-0.1 	1.6 	-1.8 	5.6 	-2.0 	2.8 	0.4 	2.6 	0.7 	-1.4 	4.3 	2.6 	-1.6 	1.8 	-4.3 	-1.5 	-0.1 	3.2 	-1.0 	-2.0 	4.3 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,LV	0.9 p	4.2 	4.6 	0.5 	-0.7 	6.1 	1.6 	0.9 	1.8 	5.1 	1.2 	1.2 	0.4 	4.2 	-1.3 	-8.2 	3.5 	1.1 	2.7 	1.8 	-1.1 	5.2 	0.6 	2.5 	0.5 	2.9 	0.8 	-3.9 	-0.3 	-0.1 	5.5 	0.5 	3.0 	-0.3 	-8.7 	-1.3 	-4.1 	-8.2 	-17.4 	-16.8 	-6.7 	-2.5 	8.5 	-3.3 	6.6 	5.1 	12.1 	10.0 	11.1 	11.9 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,MT	1.1 p	2.7 p	-3.1 p	3.6 p	0.6 	6.3 	-6.5 	3.7 	4.4 	6.0 	-8.3 	5.0 	5.8 	5.9 	-7.2 	6.2 	-1.3 	0.1 	-2.8 	0.2 	12.6 	-4.4 	1.3 	-7.4 	14.3 	-4.0 	4.6 	-6.1 	1.3 	5.2 	3.2 	-9.3 	-0.8 	7.8 	4.5 	-13.6 	5.2 	-8.6 	-7.8 	3.8 	16.8 	-6.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,NL	2.7 	1.8 	2.7 	1.7 	2.4 	1.9 	2.0 	1.1 	2.5 	1.0 	1.3 	0.6 	1.3 	0.8 	0.8 	0.1 	0.9 	0.6 	0.6 	-0.4 	0.4 	-2.0 	-2.3 	-0.7 	-3.9 	-1.9 	-1.3 	-1.7 	-0.7 	-0.4 	-0.5 	-1.1 	0.1 	0.1 	-0.2 	-0.8 	-1.4 	-2.5 	-0.7 	-0.8 	1.1 	0.1 	1.2 	0.3 	1.5 	1.2 	1.1 	0.5 	1.3 	1.2 	1.5 	0.6 	1.2 	1.2 	: 
DW_EXST,RCH_Q,NO	-0.7 	3.6 	2.0 	-1.9 	-2.9 	0.6 	3.9 	0.9 	3.0 	4.1 	3.6 	-1.5 	0.1 	2.7 	4.1 	-0.1 	0.7 	3.6 	2.3 	-3.0 	-1.4 	2.0 	3.1 	-0.5 	1.3 	2.9 	3.5 	-0.4 	0.3 	2.8 	5.1 	-0.1 	-0.5 	3.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,PL	2.1 	2.9 	1.6 	1.1 	1.0 	2.6 	-0.1 	0.4 	1.8 	2.5 	-0.3 	-0.5 	0.1 	1.3 	-0.1 	-0.3 	-0.6 	1.4 	0.0 	0.1 	0.8 	0.3 	-2.1 	-1.8 	-1.7 	-0.7 	-1.9 	-1.2 	-1.5 	1.1 	0.2 	-1.0 	-0.3 	2.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,PT	0.9 	2.9 	3.6 	1.5 	4.1 	3.2 	2.5 	1.2 	1.7 	3.5 	2.5 	1.2 	1.1 	3.0 	-0.2 	1.3 	-0.7 	1.7 	0.5 	2.8 	0.5 	0.9 	-3.4 	1.1 	-1.6 	-1.6 	-1.4 	-4.0 	-2.5 	-2.4 	-1.1 	-1.6 	-1.2 	0.3 	0.3 	0.8 	0.5 	1.6 	-0.6 	-2.3 	-1.3 	0.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,RO	-1.0 	3.3 	2.2 	1.3 	-1.1 	4.1 	2.4 	1.7 	-0.3 	2.9 	3.0 	1.9 	-1.2 	-1.1 	3.9 	1.7 	-0.8 	-1.4 	0.7 	-0.6 	-2.4 	-0.5 	4.2 	0.0 	-3.9 	-0.6 	3.5 	-4.4 	-7.4 	-1.3 	-4.7 	-2.8 	-3.3 	-1.2 	-6.5 	4.7 	-0.7 	-4.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,SE	0.7 	0.3 	-1.4 	-3.8 	1.1 	2.1 	2.7 	1.6 	2.7 	-0.2 	2.6 	1.9 	4.3 	4.0 	4.5 	2.0 	3.7 	2.6 	3.1 	1.5 	2.0 	2.5 	2.3 	0.5 	0.7 	1.2 	1.7 	-2.8 	-0.4 	0.2 	0.2 	1.8 	1.4 	1.2 	2.2 	2.6 	3.3 	4.0 	2.4 	-6.9 	-1.0 	2.3 	0.3 	-3.7 	3.9 	6.7 	4.5 	0.3 	2.9 	3.6 	3.8 	3.2 	4.9 	4.0 	: 
DW_EXST,RCH_Q,SI	4.1 	3.5 	4.1 	2.8 	0.9 	3.4 	2.2 	0.9 	0.9 	2.2 	3.3 	-1.2 	-2.8 	1.8 	1.5 	0.3 	-1.1 	-0.9 	-3.1 	-1.7 	-3.4 	0.6 	-0.7 	-2.3 	-3.7 	2.4 	-2.5 	-2.4 	-0.9 	-0.9 	3.7 	-0.6 	-0.7 	-1.5 	2.5 	2.9 	-0.2 	-3.0 	-3.3 	-5.3 	2.5 	-0.4 	2.0 	1.9 	2.1 	2.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,SK	0.2 	2.3 	2.4 	1.0 	1.3 	6.1 	-3.2 	2.2 	1.9 	2.7 	1.9 	1.0 	0.2 	1.7 	3.1 	1.4 	0.3 	1.2 	-0.1 	0.3 	-0.5 	0.4 	2.7 	-1.9 	0.1 	0.1 	0.1 	-2.1 	-0.8 	-0.2 	0.6 	0.2 	-0.7 	-0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_Q,UK	2.1 p	1.4 	-0.5 	-0.1 	2.3 	2.4 	-0.1 	-0.2 	2.2 	1.9 	1.2 	1.1 	3.3 	2.3 	-0.4 	0.1 	3.4 	3.6 	1.3 	0.4 	2.5 	2.0 	-0.5 	-1.3 	1.3 	1.9 	-1.0 	-1.4 	1.3 	0.8 	-2.1 	-2.3 	1.5 	1.9 	0.5 	2.1 	4.1 	1.5 	-5.4 	-6.6 	-3.7 	-0.6 	-3.0 	-0.1 	2.9 	3.8 	1.5 	1.9 	3.3 	3.8 	0.7 	0.1 	2.5 	2.9 	: 
DW_NEW,INX_Q,AT	112.66 	113.56 	112.72 	113.50 	113.35 	109.43 	103.61 	105.61 	105.36 	102.41 	101.80 	102.73 	101.34 	100.54 	95.39 	94.54 	96.08 	95.56 	95.56 	91.22 	91.45 	92.82 	88.55 	87.27 	88.50 	87.63 	86.14 	84.03 	83.00 	81.28 	80.46 	78.54 	76.77 	79.17 	75.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_NEW,INX_Q,BE	114.53 p	111.21 	108.24 	110.11 	110.09 	105.53 	105.92 	104.85 p	104.94 p	102.83 p	101.32 p	103.12 p	101.94 p	99.49 p	95.45 p	97.08 	96.53 	94.09 	93.98 	98.80 	97.68 	97.73 	95.73 	93.74 	94.13 	94.20 	93.79 	93.26 	92.72 	91.63 	91.37 	89.46 	88.75 	88.60 	88.23 	87.80 	89.18 	88.51 	89.62 	90.79 	89.66 	89.84 	88.68 	87.79 	87.97 	87.71 	86.80 	85.05 	84.56 	83.74 	81.95 	80.55 	79.90 	79.71 	79.53 
DW_NEW,INX_Q,BG	122.41 p	120.00 	115.46 p	115.24 	114.17 	111.91 	112.83 	110.03 	108.21 	104.28 	103.12 	102.83 	100.24 	99.45 	97.48 	98.35 	96.58 	95.92 	95.62 	93.50 	93.10 	95.20 	93.97 	94.62 	97.77 	97.37 	96.57 	95.74 	96.53 	96.05 	99.06 	98.74 	97.60 	97.85 	97.26 	98.52 p	107.82 p	110.50 p	121.44 p	123.82 p	129.18 p	125.36 p	118.40 p	110.83 p	101.91 p	94.81 p	89.99 p	82.32 p	78.02 p	74.62 p	73.41 p	70.09 p	68.44 p	66.52 p	63.79 p
